epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,4.016744819254508,0.10022438294689603,3.5255627240707623,0.14925373134328357,3.4591029578764116,0.17593158216249236
2,3.2400085416050572,0.20531039640987284,3.1819510246390728,0.208955223880597,3.098416006557812,0.21991447770311545
3,2.801441199224924,0.2948765893792072,2.8077870892054997,0.26119402985074625,2.7183116466881083,0.30604764813683566
4,2.530936356703559,0.3451757666417352,2.7532309080237773,0.2835820895522388,2.6602834208971418,0.31398900427611487
5,2.3767502796498357,0.37154076290201943,2.5828479688559005,0.3283582089552239,2.510689040401321,0.3488087965791081
6,2.155207803914506,0.4231488406881077,2.43320381107615,0.373134328358209,2.3729310874612723,0.3744654856444716
7,2.026453760727716,0.45605833956619296,2.42379038547402,0.3358208955223881,2.3684203888340263,0.3860720830788027
8,1.9064306406807168,0.4798055347793568,2.4460274586037025,0.3582089552238806,2.3383015847890642,0.4007330482590104
9,1.7542978978103547,0.5190725504861631,2.463220055423566,0.3880597014925373,2.4188609437820165,0.39767868051313376
10,1.6487819745456807,0.5398279730740464,2.592828531763447,0.3805970149253731,2.579269299510054,0.38729383017715335
