epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,2.4460427632684927,2.281305946158935,1.6473681311511066,0.31843679880329095,0.2070610803191842,0.840000273847901,0.840000273847901,0.8235727251690541,2.1378828589595966,0.43283582089552236,2.4232913550619823,0.39095907147220527
2,0.001,2.0,1.8942777127049801,1.7500670396666431,1.4421067623924477,0.43586387434554974,0.20706107782265457,0.840000273847901,0.840000273847901,0.8235727151829356,1.9383236899304745,0.47761194029850745,2.166048491081233,0.45510079413561394
3,0.001,2.0,1.6489847395610882,1.514744385909749,1.34240361640234,0.5044876589379207,0.20706108103247836,0.8400002767010777,0.8400002767010777,0.8235727223158774,1.8249241558473501,0.5373134328358209,2.0296209908580374,0.4691508857666463
4,0.001,2.0,1.4693003933021358,1.3448873193922022,1.2441307270624964,0.5456245325355273,0.20706107996253711,0.8400002709947242,0.8400002709947242,0.8235727237424658,1.8367521851810056,0.4925373134328358,1.966117953190952,0.49419670128283444
5,0.001,2.0,1.3071522936503568,1.1925848060877535,1.1456748581503253,0.599476439790576,0.20706107817930167,0.8400002795542544,0.8400002795542544,0.8235727237424658,1.6117131745637352,0.5597014925373134,1.8111478288361555,0.5369578497251069
6,0.001,2.0,1.1617478134922778,1.0558292328107688,1.0591857776146105,0.6344427823485415,0.2070610828157138,0.8400002724213126,0.8400002724213126,0.8235727237424658,1.6978674237407856,0.5447761194029851,1.9637875379988823,0.5155772755039707
7,0.001,2.0,1.0759898605146958,0.9719006311296079,1.0408924059272258,0.6632385938668661,0.2070610803191842,0.8400002724213126,0.8400002724213126,0.8235727208892891,1.661218104077809,0.5597014925373134,1.7966607087402717,0.548564447159438
8,0.001,2.0,0.9637410752168768,0.8670100350832886,0.9673104419044888,0.6903515332834704,0.20706108138912546,0.8400002824074311,0.8400002824074311,0.8235727208892891,1.518171179650435,0.5597014925373134,1.729900669090327,0.5565058032987171
9,0.001,2.0,0.9161523778044474,0.824538706707794,0.9161367703928551,0.7023186237845924,0.20706107960589,0.8400002724213126,0.8400002724213126,0.8235727237424658,1.5239564794213025,0.5597014925373134,1.7196052812117226,0.5540623091020159
10,0.001,2.0,0.8242163710747535,0.7384238147254122,0.8579255616210162,0.7359760658189978,0.20706108138912546,0.8400002752744893,0.8400002752744893,0.8235727208892891,1.573220313484989,0.5746268656716418,1.6924834720376212,0.5681124007330483
11,0.001,2.0,0.7330193923495114,0.6538300464736407,0.7918934094522457,0.7733732236350037,0.2070610792492429,0.8400002709947242,0.8400002709947242,0.823572716609524,1.349728306727623,0.6343283582089553,1.6653638899726844,0.5833842394624312
12,0.001,2.0,0.6684791548268155,0.5962368294919883,0.7224232529470433,0.7827225130890052,0.20706108103247836,0.840000273847901,0.840000273847901,0.8235727137563473,1.4638602715819629,0.6119402985074627,1.639381700124257,0.5956017104459377
13,0.001,2.0,0.6143628422591609,0.5437124484764077,0.7065039746959261,0.8023560209424084,0.20706108210241964,0.840000273847901,0.840000273847901,0.8235727251690541,1.4512609590345353,0.6268656716417911,1.663413430396274,0.5907147220525352
14,0.001,2.0,0.5644276489851273,0.5004906851405427,0.6393696156204326,0.8218025430067315,0.2070610792492429,0.8400002752744893,0.8400002752744893,0.8235727180361123,1.7025738082714934,0.582089552238806,1.7789057118905778,0.5729993891264509
