epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,2.0760474668754325,0.2638736263736264,1.5964878935967721,0.46774193548387094,1.6682085686463577,0.42846153846153845
2,1.863316578917451,0.3603021978021978,1.4621576962932463,0.5064516129032258,1.5521394868997427,0.49
3,1.7879179134473695,0.4037087912087912,1.3266054853316276,0.5838709677419355,1.445285425552955,0.515
4,1.7304911671104013,0.4245879120879121,1.3801887558352564,0.5838709677419355,1.4416332615338838,0.515
5,1.6824722271699173,0.45,1.2762420062095887,0.6225806451612903,1.3356333387815036,0.5703846153846154
6,1.626362263239347,0.4774725274725275,1.2155349916027438,0.6,1.283285393348107,0.5838461538461538
7,1.5973021258364668,0.4913461538461538,1.1636063121980236,0.635483870967742,1.2648419138101432,0.6019230769230769
8,1.5438664386560628,0.5094780219780219,1.1362247636241298,0.6548387096774193,1.2356106582054724,0.5984615384615385
9,1.5149381999131089,0.5291208791208791,1.0968505567119968,0.6741935483870968,1.2120434973790095,0.6165384615384616
10,1.470124564066038,0.5418956043956044,1.0712031848969,0.6419354838709678,1.1834297183843758,0.6138461538461538
11,1.4284260485198472,0.5472527472527473,1.0444091335419685,0.6741935483870968,1.227800653897799,0.5988461538461538
12,1.3920455044442481,0.5651098901098901,0.9318001093402986,0.7,1.1033267956513626,0.6273076923076923
13,1.3443317185391437,0.5806318681318682,1.0107390396056637,0.7096774193548387,1.1582984212728646,0.6330769230769231
14,1.3271202205301642,0.5879120879120879,0.9912220085820844,0.667741935483871,1.1270288463739249,0.6219230769230769
15,1.2811266126213492,0.6064560439560439,0.9955101936094223,0.6967741935483871,1.1452984919914833,0.6242307692307693
