epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,0.5713292656364022,0.5713292656364022,1.220167657831213,0.3467032967032967,0.25415826813205256,0.7636789877336104,0.30511033299205065,0.37017706409915463,1.3989222795732559,0.5225806451612903,1.5597097950715284,0.46153846153846156
2,0.001,2.0,0.5168913401090182,0.5168913401090182,1.183842526425372,0.39629120879120877,0.2541582689180479,0.7636790003095354,0.3051103332540491,0.3701770677671328,1.4825473108599263,0.5161290322580645,1.6723111779873188,0.4442307692307692
3,0.001,2.0,0.49066677381704144,0.49066677381704144,1.1415783355524252,0.4206043956043956,0.2541582673460573,0.7636789919255854,0.30511033613603195,0.37017706409915463,1.300642168137335,0.5193548387096775,1.4879816653178288,0.4676923076923077
4,0.001,2.0,0.4791501413334857,0.4791501413334857,1.1382426411240965,0.4372252747252747,0.25415826813205256,0.7636789982135479,0.3051103392800132,0.3701770688151265,1.4635811928779847,0.4774193548387097,1.5736941843766432,0.44884615384615384
5,0.001,2.0,0.46266249490308237,0.46266249490308237,1.1332323218439961,0.45357142857142857,0.25415826813205256,0.7636789919255854,0.3051103324680538,0.370177066719139,1.1686916897373816,0.6096774193548387,1.3743250436049241,0.5026923076923077
6,0.001,2.0,0.45121416744295056,0.45121416744295056,1.1069357222253149,0.45947802197802196,0.2541582670840588,0.7636789898295979,0.30511033404004445,0.3701770651471484,1.269291889282965,0.5612903225806452,1.426283319913424,0.5069230769230769
7,0.001,2.0,0.4348661338889992,0.4348661338889992,1.13114835194179,0.4732142857142857,0.2541582676080557,0.7636789940215729,0.3051103377080226,0.37017706409915463,1.328516145675413,0.5419354838709678,1.5234744988954985,0.48
8,0.001,2.0,0.43150197667079965,0.43150197667079965,1.120294794669518,0.47953296703296705,0.2541582676080557,0.7636789950695667,0.30511033613603195,0.3701770661951421,1.2881346248811292,0.5612903225806452,1.4725749646700346,0.48615384615384616
