label,total,correct,accuracy
0,260,214,0.823076923076923
1,260,150,0.5769230769230769
2,260,236,0.9076923076923077
3,260,70,0.2692307692307692
4,260,69,0.2653846153846154
5,260,96,0.36923076923076925
6,260,137,0.5269230769230769
7,260,134,0.5153846153846153
8,260,180,0.6923076923076923
9,260,71,0.27307692307692305
