epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,0.7383070603831784,0.5515669144116915,0.746960601570842,0.36236263736263735,0.24805157420399424,0.7761975382710551,0.3008661689339103,0.36633282284160235,0.9280988285618443,0.6838709677419355,1.2235422963362474,0.5903846153846154
2,0.001,2.0,0.6413467354826875,0.4954028364066239,0.5837756028542151,0.4114010989010989,0.24805157367999736,0.7761975351270739,0.30086616474193534,0.36633282284160235,0.7855414628982544,0.7193548387096774,1.1063265818815964,0.6326923076923077
3,0.001,2.0,0.5874786788290673,0.4682609140217959,0.4768710754729889,0.42678571428571427,0.2480515760379833,0.7761975330310863,0.3008661678859166,0.36633282284160235,0.9703668325178085,0.6774193548387096,1.3388375700437105,0.5946153846153847
4,0.001,2.0,0.5655318072863987,0.4579568291103447,0.43029992508364245,0.4467032967032967,0.24805157551398643,0.7761975361750676,0.30086616474193534,0.36633282126961175,0.8818864099441036,0.7161290322580646,1.2512573495277992,0.6246153846153846
5,0.001,2.0,0.5334367786134993,0.44380246800380746,0.3585372395567842,0.4608516483516483,0.24805157263200361,0.7761975351270739,0.30086616447993686,0.36633282126961175,0.9405818208571404,0.7096774193548387,1.3763056659698487,0.6223076923076923
