epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,4.342766973628156,0.06675392670157068,3.8550836506174573,0.08208955223880597,3.8032438382187777,0.13072693952351863
2,3.9107024229188063,0.13949139865370233,3.4238128413015336,0.17164179104477612,3.421429165267478,0.16921197312156383
3,3.666341954233402,0.18511593118922962,3.3386587171412225,0.15671641791044777,3.374856160775,0.16310323762981063
4,3.4828246110575183,0.22980553477935678,3.1232669282315384,0.21641791044776118,3.1105296530225472,0.24068417837507636
5,3.2959021915672606,0.27243829468960357,2.886364919036182,0.26865671641791045,2.895731821392248,0.259010384850336
6,3.1634615418085343,0.29281974569932684,2.948579065835298,0.26119402985074625,2.8495219168898966,0.274282223579719
7,3.0226960861602645,0.3285340314136126,2.972000630933847,0.29850746268656714,2.8488299580121375,0.29383017715332926
8,2.8916268197118833,0.3513462976813762,2.7931042891829763,0.30597014925373134,2.633058443692813,0.3463653023824068
9,2.7953130835103024,0.381451009723261,2.7485780751527247,0.31343283582089554,2.766672835527722,0.3091020158827123
10,2.703472860196498,0.39603590127150334,2.592648274862944,0.34328358208955223,2.5465513509297124,0.3659132559560171
11,2.614675747073223,0.4089379207180254,2.5828529720875752,0.31343283582089554,2.569139222073424,0.3659132559560171
12,2.540775667310385,0.4287584143605086,2.74192724299075,0.31343283582089554,2.6735979093599407,0.3506414172266341
13,2.444586445880453,0.4465220643231114,2.7907201176259053,0.31343283582089554,2.68445367935451,0.33475870494807575
14,2.3636969676549167,0.462602842183994,2.6354907341857454,0.3582089552238806,2.629199697247495,0.36408063530849116
