epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,4.3288644735012465,0.06731488406881077,3.8320087568083805,0.09701492537313433,3.7728831622392285,0.1240073304825901
2,3.9164132166015806,0.1336948391922214,3.482513708854789,0.21641791044776118,3.4103835533505618,0.20219914477703116
3,3.6624279938799815,0.18922961854899029,3.2244342120725715,0.2537313432835821,3.1509225355391832,0.259010384850336
4,3.460883290890713,0.22550486163051608,3.1385448085727976,0.21641791044776118,3.061661504577702,0.26450824679291385
5,3.3128648629898265,0.26570680628272253,2.9285325808311575,0.23880597014925373,2.839022119233138,0.30238240684178375
6,3.17503273032366,0.29020194465220644,2.9140221467658654,0.2835820895522388,2.838408577638788,0.32070861331704337
7,3.065797157758372,0.31039640987284967,2.782089213826763,0.30597014925373134,2.719264060167838,0.34697617593158214
8,2.96533264753617,0.32909498878085264,2.7918275096523226,0.35074626865671643,2.732821461188771,0.3445326817348809
9,2.848394406760194,0.3494764397905759,2.725888211335709,0.34328358208955223,2.639684810242277,0.3481979230299328
10,2.7731096223832603,0.35957367240089755,2.643244257613794,0.3208955223880597,2.6448947404606282,0.3481979230299328
11,2.6899002142244965,0.37004487658937923,2.5572686177581105,0.34328358208955223,2.5505486836721785,0.3659132559560171
12,2.586888778539585,0.40089753178758414,2.5624806293800697,0.34328358208955223,2.5650427063281898,0.37935247403787414
13,2.499299029226881,0.4151084517576664,2.5589530236685456,0.373134328358209,2.51520117958945,0.38851557727550395
14,2.4530787373445064,0.42034405385190726,2.5791065853033492,0.3656716417910448,2.5567452298771993,0.3830177153329261
