epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,0.5219998430419754,0.45351937649014235,0.6848046765222654,0.5311813186813187,0.423475400694124,0.8699521892673366,0.46812306288834454,0.5043973655491085,0.8089448286641029,0.7258064516129032,1.1630876011114855,0.5996153846153847
2,0.001,2.0,0.4080141210294032,0.35222155215976003,0.5579256788714901,0.601510989010989,0.42347539545415525,0.8699521829793742,0.46812306288834454,0.5043973576891553,0.7714928688541536,0.7290322580645161,1.093207057072566,0.6238461538461538
3,0.001,2.0,0.3687854670561277,0.31783144709828137,0.5095401694486429,0.637087912087912,0.4234753917861771,0.8699521850753617,0.46812306288834454,0.5043973603091397,0.7368212261507588,0.7483870967741936,1.0442338473980244,0.655
4,0.001,2.0,0.33117378589871166,0.2847240280319046,0.464497573362602,0.6616758241758242,0.4234753917861771,0.8699521861233555,0.46812306550832894,0.5043973629291241,0.8140461456391119,0.7290322580645161,1.1149053247158345,0.6384615384615384
5,0.001,2.0,0.3141981369191474,0.2696372439573099,0.44560893734732826,0.6780219780219781,0.42347539493015834,0.869952188219343,0.4681230723202884,0.5043973629291241,0.7046178067884138,0.7774193548387097,1.129728212906764,0.6315384615384615
6,0.001,2.0,0.288073862188465,0.2474957768733685,0.40578087109785815,0.6993131868131868,0.42347539283417085,0.8699521819313804,0.46812306550832894,0.5043973555931678,0.7142493913250585,0.7677419354838709,1.0206738604032077,0.6623076923076923
7,0.001,2.0,0.2733085938862392,0.23482626512810423,0.38482326897946034,0.7048076923076924,0.42347539493015834,0.8699521871713491,0.4681230644603352,0.5043973629291241,0.7095372830667803,0.7451612903225806,1.0525490683775682,0.6519230769230769
8,0.001,2.0,0.2658434388401744,0.22848338281715308,0.37360056376719214,0.7193681318681319,0.4234753980741396,0.8699521871713491,0.46812306341234144,0.5043973592611459,0.709170247662452,0.7709677419354839,1.0700766545075637,0.6576923076923077
