epoch,train_loss,train_accuracy,gold_validation_loss,gold_validation_accuracy
1,1.801688804575557,0.3274021352313167,1.7292218169858378,0.34838709677419355
2,1.3751231904555894,0.48185053380782916,1.4140163521612845,0.5032258064516129
3,1.2250945269425144,0.5338078291814946,1.0777931436415642,0.6451612903225806
4,1.131981975243185,0.5832740213523132,1.0240569553067607,0.6419354838709678
5,1.0340234588473718,0.6217081850533808,1.2335740666235646,0.5612903225806452
6,0.9854822675952708,0.6345195729537366,1.016995837611537,0.6645161290322581
7,0.9291071828998281,0.6768683274021352,0.9295786465367963,0.7
8,0.8595754221665053,0.69644128113879,1.1827626620569536,0.6225806451612903
9,0.8266085810932825,0.702846975088968,0.879368289824455,0.7096774193548387
10,0.7832039885673658,0.7142348754448399,0.9169663667678833,0.6903225806451613
11,0.7409324031707655,0.7430604982206406,0.8298448589540297,0.7258064516129032
12,0.7040786279902339,0.7455516014234875,0.801209460150811,0.7322580645161291
13,0.6768520367951579,0.7565836298932385,0.9381604417677849,0.6935483870967742
14,0.6527940402251545,0.7661921708185053,0.8851247825930195,0.7322580645161291
15,0.6034793458375218,0.7882562277580071,0.8496635721575829,0.7290322580645161
16,0.6028800596546023,0.7882562277580071,0.8912203338838393,0.6935483870967742
17,0.5794895987069479,0.7903914590747331,0.8451067789908379,0.7354838709677419
18,0.5409261336954463,0.8120996441281139,0.8079221056353662,0.7516129032258064
