epoch,train_loss,train_accuracy,gold_validation_loss,gold_validation_accuracy
1,1.7739384955782906,0.3572953736654804,1.7043965831879646,0.34838709677419355
2,1.3898606499743207,0.47437722419928824,1.3138173757060883,0.5387096774193548
3,1.2495744488841698,0.5380782918149466,1.152568491043583,0.6
4,1.145810218383409,0.5814946619217082,1.1118158002053538,0.6290322580645161
5,1.060771560414406,0.6138790035587188,1.0862635773997154,0.6193548387096774
6,0.9974772907660949,0.6366548042704626,1.0694017333369101,0.635483870967742
7,0.951955820614757,0.6565836298932385,1.0398382586817587,0.6225806451612903
8,0.9027409288382615,0.6658362989323844,0.9249774598306225,0.7096774193548387
9,0.8496743233602666,0.6900355871886121,0.9148997764433584,0.6806451612903226
10,0.8492751159277675,0.702135231316726,0.8285893144146088,0.7258064516129032
11,0.7738863872463593,0.7256227758007118,0.8733087093599381,0.7225806451612903
12,0.7635510587607415,0.7284697508896797,0.865654973060854,0.7064516129032258
13,0.7132883368437825,0.7387900355871886,0.8108143421911425,0.7096774193548387
14,0.686148316452936,0.7523131672597865,0.772244534953948,0.7290322580645161
15,0.6432735702745431,0.7782918149466193,0.7779967227289754,0.7580645161290323
16,0.6035572972586146,0.7871886120996441,0.805419889573128,0.7483870967741936
17,0.579903517711205,0.799288256227758,0.8356170346659999,0.7258064516129032
18,0.5765881834505292,0.796085409252669,0.7997635156877579,0.7387096774193549
19,0.5452730441644947,0.804626334519573,0.7747881747061206,0.7451612903225806
20,0.5177405838864554,0.8249110320284697,0.8605385380406534,0.7129032258064516
