epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,4.354559054906099,0.06918474195961107,3.871773250067412,0.05970149253731343,3.7800051615452284,0.12217470983506414
2,3.9485011154266108,0.13219895287958114,3.479629107375643,0.1865671641791045,3.4045474472465354,0.20708613317043373
3,3.699288931192528,0.18137621540762902,3.180353851460699,0.2537313432835821,3.1291216627154763,0.2651191203420892
4,3.4804202930732906,0.2243829468960359,3.0459644580954937,0.27611940298507465,2.9479068257711103,0.2919975565058033
5,3.332645043385234,0.2610321615557218,2.9106049751167866,0.29850746268656714,2.8097022222030725,0.3335369578497251
6,3.1624682293779918,0.293567688855647,2.69768058897844,0.3358208955223881,2.6541418222370274,0.35858277336591327
7,3.0356252022260324,0.32292445774121165,2.643777648014809,0.3656716417910448,2.5823580184649897,0.3744654856444716
8,2.9240171404676643,0.3492894540014959,2.5739785201513947,0.3805970149253731,2.5812117566986643,0.3744654856444716
9,2.7913991329646772,0.38163799551234107,2.4454265299128064,0.417910447761194,2.408931255340576,0.4111178985949908
10,2.707431115583421,0.3863126402393418,2.2876510584532324,0.44776119402985076,2.3755332669180635,0.41783750763591937
11,2.6120698558989974,0.40445026178010474,2.327397778852662,0.43283582089552236,2.3555695240134935,0.42089187538179595
12,2.5042256879200218,0.42090501121914736,2.3354250779792443,0.41044776119402987,2.3479742387772773,0.4312767257177764
13,2.4357074669429233,0.43848167539267013,2.263285311300363,0.44029850746268656,2.3277292041860127,0.43860720830788025
14,2.353122857941918,0.4581151832460733,2.2779680170230012,0.4253731343283582,2.3074128626320665,0.436163714111179
15,2.2879580622211533,0.4637247569184742,2.2060237589167127,0.44029850746268656,2.218285426470151,0.4489920586438607
16,2.1972909938424223,0.4766267763649963,2.2962073977313824,0.4626865671641791,2.3297197649809522,0.42883323152107516
17,2.1466354430390546,0.4968212415856395,2.338149737955919,0.4701492537313433,2.314760215412063,0.4257788637751985
18,2.0458251593624732,0.5089753178758414,2.196459010465821,0.4626865671641791,2.255622803618723,0.45021380574221137
19,1.9987238751656098,0.5130890052356021,2.2697262497090582,0.4552238805970149,2.3658976859265737,0.4276114844227245
20,1.949417489985521,0.5229992520568437,2.183457152167363,0.44029850746268656,2.3047549892069004,0.437996334758705
