epoch,train_loss,train_accuracy,gold_validation_loss,gold_validation_accuracy
1,4.516191630497157,0.04392523364485981,4.488694055756526,0.05970149253731343
2,4.0272547392087565,0.09158878504672897,4.185689591649753,0.08955223880597014
3,3.7128280759971832,0.14205607476635515,3.890383022934643,0.09701492537313433
4,3.4787235692282703,0.16542056074766356,3.6705346178652634,0.1791044776119403
5,3.24006534291205,0.19906542056074766,3.5125533466908467,0.1417910447761194
6,3.0425554498333796,0.24766355140186916,3.2587992646800936,0.208955223880597
7,2.8653696782121036,0.2607476635514019,3.1275956737461375,0.21641791044776118
8,2.6839675105620766,0.3,2.9636209224587056,0.26865671641791045
9,2.591652469545881,0.3186915887850467,2.886051619230811,0.26119402985074625
10,2.4519451546891826,0.36542056074766355,2.8131649387416555,0.2835820895522388
11,2.333953262489533,0.3841121495327103,2.7641727764215043,0.2835820895522388
12,2.2247774926301473,0.39626168224299063,2.6773159450559474,0.3208955223880597
13,2.084798021405657,0.44672897196261685,2.6189144600683183,0.29850746268656714
14,1.9867413347012528,0.4532710280373832,2.582100816627047,0.34328358208955223
15,1.8813534041431463,0.491588785046729,2.504511582317637,0.34328358208955223
16,1.8096958216105665,0.497196261682243,2.5199192726790014,0.34328358208955223
17,1.736581404632497,0.5158878504672897,2.506589576379577,0.3582089552238806
18,1.66449256076991,0.5439252336448598,2.3861405796079493,0.3880597014925373
19,1.6019950534695777,0.5420560747663551,2.5007757624583458,0.3880597014925373
20,1.5553732470931294,0.5822429906542056,2.355632029362579,0.41044776119402987
21,1.4648289172448845,0.6056074766355141,2.470751443905617,0.3805970149253731
22,1.435435949976199,0.5934579439252337,2.3431872342949482,0.41044776119402987
23,1.3787986991561463,0.6121495327102804,2.444092841290716,0.373134328358209
24,1.3151119969715581,0.6373831775700934,2.3358657609170943,0.4253731343283582
25,1.2048681301491282,0.6747663551401869,2.390147616614157,0.39552238805970147
26,1.1717322329494442,0.6663551401869159,2.3244036578420384,0.41044776119402987
27,1.1457898556629074,0.6915887850467289,2.2574835464135923,0.44776119402985076
28,1.0996855510729495,0.7018691588785047,2.40035158840578,0.3805970149253731
29,1.1261620566109631,0.6850467289719626,2.436674005949675,0.41044776119402987
30,1.0693255459036783,0.694392523364486,2.319842987985753,0.39552238805970147
31,0.9902467224085443,0.7177570093457943,2.2541814971326004,0.4253731343283582
32,0.9318693648988956,0.7299065420560747,2.247630434249764,0.4626865671641791
33,0.9395006335784342,0.7355140186915888,2.234716189441396,0.44776119402985076
34,0.9161497637490246,0.7383177570093458,2.2736131255306415,0.44776119402985076
35,0.8850741711732383,0.7439252336448599,2.3447935189773785,0.4253731343283582
36,0.8149038520928855,0.7663551401869159,2.314082796893903,0.417910447761194
37,0.8369720168202837,0.7560747663551401,2.1657237971006933,0.44776119402985076
38,0.7669815443386542,0.77196261682243,2.265548213204341,0.44029850746268656
39,0.7858534487608437,0.7775700934579439,2.346396912389727,0.417910447761194
40,0.712967487250533,0.7990654205607477,2.3288560180521722,0.41044776119402987
