epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,4.016764910611628,0.10639491398653703,3.880377449206452,0.09701492537313433,3.7019621052972123,0.11912034208918754
2,3.2190457679660085,0.2161555721765146,3.1819627996700914,0.23134328358208955,3.1520729536826684,0.21319486866218693
3,2.7047658786902073,0.3102094240837696,2.7715509756287533,0.2835820895522388,2.731245915192107,0.29016493585827735
4,2.348639362502116,0.3868735976065819,2.7888053762378977,0.291044776119403,2.655507626151922,0.321930360415394
5,2.140205733528223,0.43324607329842935,2.674000049704936,0.34328358208955223,2.476842015126018,0.37263286499694565
6,1.9112342506000688,0.4796185489902767,2.4921161309996647,0.373134328358209,2.3667201465706893,0.3860720830788027
7,1.7788173324061403,0.5104712041884817,2.421902017806893,0.3582089552238806,2.353818467279433,0.3982895540623091
8,1.6597722518238989,0.5450635751682872,2.4328147564361347,0.39552238805970147,2.3227028883151624,0.39706780696395844
9,1.5286489133078747,0.5660059835452506,2.4931689322884405,0.4253731343283582,2.367803888635513,0.41539401343921806
10,1.418226519982674,0.5968586387434555,2.114861175195495,0.44776119402985076,2.2061587644191363,0.437996334758705
11,1.3250491522815393,0.6277112939416605,2.5922144811544845,0.43283582089552236,2.4435844188356954,0.4074526572999389
12,1.2170704254572662,0.6490276738967838,2.5434991388178583,0.3805970149253731,2.5629281563662727,0.4007330482590104
13,1.1567565863401745,0.6694091249065071,2.30424145798185,0.41044776119402987,2.2368454973218497,0.4581551618814905
