epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,1.8739336993668105,0.3103021978021978,1.5647654402640558,0.38387096774193546,1.7528977782909687,0.3088461538461538
2,1.4717021787559592,0.43324175824175826,1.5286545538133192,0.3935483870967742,1.6791379268352802,0.3557692307692308
3,1.3484296038910584,0.495467032967033,1.8624225554927702,0.34838709677419355,2.0031613364586462,0.3096153846153846
4,1.2496571273594113,0.5315934065934066,1.5203823397236487,0.4290322580645161,1.7792160863142747,0.37423076923076926
5,1.173183739054334,0.5689560439560439,1.4634121487217564,0.4483870967741935,1.7108433829821073,0.40076923076923077
6,1.1163015651178885,0.5888736263736264,1.5611174798780871,0.5096774193548387,1.7638719536707952,0.4269230769230769
7,1.0414905820574079,0.6255494505494505,1.3833210268328267,0.5161290322580645,1.6124651604432325,0.4519230769230769
8,0.9980213744299752,0.6337912087912088,1.3271378048004643,0.532258064516129,1.6090503347837009,0.46692307692307694
9,0.9486184703124748,0.6535714285714286,1.6012930393218994,0.5161290322580645,1.8912144642609816,0.43
10,0.886588147839347,0.673901098901099,1.508326409709069,0.5290322580645161,1.821286344894996,0.43115384615384617
11,0.8553066620459924,0.6810439560439561,1.359988058767011,0.5516129032258065,1.5917644559420072,0.48923076923076925
