epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,1.7582114070326418,0.3395604395604396,1.4460188188860494,0.44193548387096776,1.5269497181819036,0.41423076923076924
2,1.377689395894061,0.4789835164835165,1.2077383879692323,0.5548387096774193,1.2976071335719181,0.5184615384615384
3,1.2645714710046956,0.5311813186813187,1.116773743783274,0.6,1.2689951643576989,0.5303846153846153
4,1.1480244023459298,0.5662087912087912,1.2985931557993735,0.5387096774193548,1.3962557844015269,0.5019230769230769
5,1.050830549460191,0.607554945054945,1.0858364382097798,0.5806451612903226,1.1879116476499116,0.561923076923077
6,0.9993819475173951,0.6317307692307692,1.2066656251107493,0.5806451612903226,1.2797048033200777,0.5603846153846154
7,0.9226009108208038,0.6634615384615384,0.9534159421920776,0.6580645161290323,1.1414439982634323,0.6134615384615385
8,0.8628588938451075,0.6818681318681319,0.9227445571653304,0.6838709677419355,1.0982537955504197,0.6165384615384616
9,0.7950529217720032,0.7115384615384616,1.0631754821346653,0.6516129032258065,1.1705101713767418,0.6180769230769231
10,0.7679120837987125,0.7233516483516483,0.9987701808252643,0.6774193548387096,1.1046991815933815,0.6330769230769231
11,0.7096497437456152,0.7449175824175824,0.805041971898848,0.7258064516129032,0.98066404067553,0.6730769230769231
12,0.6726595452853612,0.7604395604395604,0.8970550252545264,0.7064516129032258,1.1704280673540555,0.635
13,0.6258675885724497,0.7747252747252747,0.948100919108237,0.7064516129032258,1.1490260692743155,0.6338461538461538
14,0.591437982071887,0.7866758241758242,0.8343398547941638,0.7451612903225806,1.0600250702637892,0.6484615384615384
