epoch,lr,alpha,train_loss,mixed_loss,gold_stability_loss,train_accuracy,mean_r_prob,mean_r_sim,mean_gold_consistency,mean_control,val_loss,val_accuracy,test_loss,test_accuracy
1,0.001,2.0,2.043761787792597,1.823680588266434,2.2008120812135754,0.21914734480179507,0.14695791887898185,0.8457220672401993,0.4963399934162377,0.5399546084692876,2.4745913299161995,0.3805970149253731,2.5962405418869046,0.3824068417837508
2,0.001,2.0,1.769363421865961,1.5794935086456448,1.8986991093777505,0.31712789827973076,0.14695791566915806,0.8457220729465528,0.49633999412953184,0.5399546120357585,2.2115633914719766,0.41044776119402987,2.3369656305307283,0.41783750763591937
3,0.001,2.0,1.6312235904970362,1.4611468322257453,1.7007676375473981,0.3655572176514585,0.14695791763071703,0.8457220729465528,0.4963399934162377,0.539954609895876,2.106911258911019,0.4626865671641791,2.2518370911779386,0.43860720830788025
4,0.001,2.0,1.5274951207432714,1.3703984187089782,1.5709670289024633,0.3986537023186238,0.14695791584748158,0.8457220643870226,0.4963399891364726,0.5399546056161109,2.0097265652756193,0.4925373134328358,2.164639799858494,0.468540012217471
5,0.001,2.0,1.4387644346561017,1.292949819350831,1.4581461911247842,0.42539267015706805,0.14695791727406995,0.845722065813611,0.49633999412953184,0.5399546077559934,1.9291180567954904,0.4701492537313433,2.0491784524830217,0.4905314599877825
6,0.001,2.0,1.3541233098230525,1.2184675432624616,1.3565577112567362,0.44857890800299177,0.14695791620412868,0.8457220715199644,0.49633999127635514,0.539954609895876,1.9648461679914104,0.4925373134328358,2.020694760119835,0.4917532070861332
7,0.001,2.0,1.2901543467991727,1.1631750578120652,1.2697928923676063,0.47157816005983544,0.14695791887898185,0.845722065813611,0.4963399998358853,0.5399546034762284,1.9406863700098067,0.5,1.9920942228453584,0.516188149053146
8,0.001,2.0,1.2201289060673968,1.1000781387380458,1.2005076942465247,0.4973821989528796,0.14695791584748158,0.8457220686667877,0.49634000126247363,0.5399546113224643,1.8503378843193623,0.5223880597014925,1.9382533583614836,0.5106902871105681
9,0.001,2.0,1.1550533426458833,1.0431373288761616,1.1191602683192148,0.5226252804786836,0.14695791887898185,0.845722065813611,0.4963399919896493,0.5399546084692876,1.8707174365200214,0.4626865671641791,1.9553896731986604,0.5113011606597434
10,0.001,2.0,1.0862967324239066,0.9845268438356353,1.01769890589953,0.5514210919970082,0.14695791887898185,0.8457220729465528,0.4963399891364726,0.5399546084692876,1.9017568150563027,0.5074626865671642,2.0184854776595667,0.49114233353695785
11,0.001,2.0,1.0512170413580062,0.9519339747275536,0.992830671877137,0.5555347793567689,0.14695791638245223,0.8457220686667877,0.4963399934162377,0.5399545999097575,1.83624385897793,0.5223880597014925,1.8891174903204329,0.5326817348808797
12,0.001,2.0,1.0022625347617498,0.9092285368276695,0.9303399726982516,0.575168287210172,0.14695791816568768,0.8457220686667877,0.4963399969827086,0.5399546077559934,1.8030870850406475,0.5074626865671642,1.872531169860481,0.5394013439218082
13,0.001,2.0,0.9486941581977867,0.8610194719987925,0.8767468632382069,0.5903141361256544,0.14695791727406995,0.8457220729465528,0.4963399969827086,0.5399546056161109,1.8228463610606407,0.5373134328358209,1.9189886269805339,0.5387904703726328
14,0.001,2.0,0.8945139070545103,0.8104589221721812,0.8405498120440595,0.6067688855646971,0.1469579170957464,0.8457220715199644,0.4963399955561202,0.5399546091825818,1.7593024257403702,0.5522388059701493,1.8990175951233563,0.5345143555284056
15,0.001,2.0,0.8492695586219507,0.7738031913472719,0.7546636380182778,0.6161181750186986,0.14695791727406995,0.8457220715199644,0.49633998485670755,0.5399546077559934,1.755633722490339,0.5373134328358209,1.8488300987038586,0.5479535736102626
16,0.001,2.0,0.8010937163610465,0.7289635836855191,0.7213013518097334,0.6340688107703815,0.14695791638245223,0.845722065813611,0.49633999412953184,0.5399546091825818,1.8737301061402505,0.5373134328358209,1.8966394831075417,0.5491753207086133
17,0.001,2.0,0.755006014810361,0.6874887900470171,0.6751722433536732,0.6557591623036649,0.1469579190573054,0.8457220757997295,0.4963399927029435,0.5399546034762284,1.8361055548511334,0.5447761194029851,1.9433695131784252,0.5302382406841784
18,0.001,2.0,0.7278819265611687,0.6607679465232541,0.671139784374608,0.6626776364996261,0.1469579170957464,0.8457220743731411,0.49633999769600273,0.5399546070426993,1.8171432480883243,0.5522388059701493,1.9235671251811992,0.5406230910201588
