epoch,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy
1,4.330945458265945,0.07255048616305161,3.8436639380099167,0.05970149253731343,3.7462819602770563,0.12461820403176542
2,3.9061940244176805,0.13649962602842183,3.429974541735293,0.19402985074626866,3.3246025928434397,0.22296884544899206
3,3.617090496449838,0.20100972326103217,3.0708282492054044,0.26119402985074625,2.9987430700676136,0.2981062919975565
4,3.3985434905218384,0.24981301421091998,2.9843416818931923,0.30597014925373134,2.8372337363737707,0.3164324984728161
5,3.2474737324283116,0.2849663425579656,2.773105084006466,0.31343283582089554,2.6828898636393235,0.3536957849725107
6,3.0450442324134066,0.32292445774121165,2.5906798074494546,0.3283582089552239,2.543000995930769,0.37263286499694565
7,2.940706468823247,0.3530291697830965,2.508194380731725,0.3582089552238806,2.4333733897713095,0.40867440439828956
8,2.839186753456327,0.3681750186985789,2.569747261147001,0.373134328358209,2.490212341890003,0.3860720830788027
9,2.7031746903906675,0.4023934181002244,2.3353632884239084,0.417910447761194,2.268404100169914,0.436163714111179
10,2.6346514310601403,0.4074420344053852,2.2577427892542596,0.41044776119402987,2.2382689964210543,0.4483811850946854
11,2.5442021094602527,0.4276364996260284,2.2722809901878014,0.3880597014925373,2.226859303458697,0.4581551618814905
12,2.4358927780955963,0.4467090501121915,2.187635551637678,0.43283582089552236,2.1819524880073096,0.46976175931582165
13,2.3554270854171033,0.4637247569184742,2.168079609301553,0.3880597014925373,2.2500169948608173,0.4392180818570556
14,2.3103876652428705,0.46914734480179504,2.208630282487442,0.43283582089552236,2.1742285841037097,0.46731826511912034
15,2.2232140360613233,0.4841062079281975,2.1501191053817523,0.47761194029850745,2.1067024152600773,0.4770922419059255
16,2.142786124078926,0.49794315632011965,2.2057941831759553,0.4552238805970149,2.1530827712779668,0.4715943799633476
17,2.071138733433714,0.5115931189229619,2.1010081447772126,0.39552238805970147,2.074772692119922,0.48503359804520463
18,2.0057289885689986,0.5143979057591623,2.1147168767986013,0.44029850746268656,2.1166816743030443,0.4715943799633476
19,1.9568507407437354,0.5278608825729244,2.1502049236155267,0.47761194029850745,2.1360516872941973,0.47342700061087356
20,1.8803787704002706,0.5430067314884068,2.1238979990802593,0.48507462686567165,2.060502915099837,0.4899205864386072
