variant,boundary_setting,dataset,train_rel,noise_setting,selected_config_run,selected_config_run_leaf,selected_config_beta,selected_config_lambda_gold,selected_config_acc_mean,boundary_run,boundary_run_leaf,boundary_acc_mean,drop,drop_pp,drop_pp_rounded,boundary_worse
lambda_G = 0,No gold stability loss,STL,label_noise/label_shuffle_0p2,label_shuffle_0p2,label_noise/label_shuffle/label_shuffle_0p2_method_beta05_lg025,label_shuffle_0p2_method_beta05_lg025,0.5,0.25,0.7185897436,lambda0/label_noise/label_shuffle/label_shuffle_0p2_beta05_lg00,label_shuffle_0p2_beta05_lg00,0.6517948718,0.0667948718,6.6795,6.7,true
beta = 0,Similarity only,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,0.5774791285,beta00/feature_noise/blur/blur_3p0_beta00_lg01,blur_3p0_beta00_lg01,0.5391977194,0.0382814091,3.8281,3.8,true
beta = 0,Similarity only,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,0.6224801466,beta00/feature_noise/brightness/brightness_0p75_beta00_lg01,brightness_0p75_beta00_lg01,0.5646507840,0.0578293626,5.7829,5.8,true
beta = 0,Similarity only,Flower_102,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablations/gaussian_30p0_beta05_lg02,gaussian_30p0_beta05_lg02,0.5,0.2,0.6218692731,beta00/feature_noise/gaussian/gaussian_30p0_beta00_lg015,gaussian_30p0_beta00_lg015,0.6289961311,-0.0071268580,-0.7127,-0.7,false
beta = 0,Similarity only,Flower_102,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta07_lg01,blur_3p0_label_shuffle_0p2_beta07_lg01,0.7,0.1,0.5259621258,beta00/hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta00_lg01,blur_3p0_label_shuffle_0p2_beta00_lg01,0.5066177968,0.0193443290,1.9344,1.9,true
beta = 0,Similarity only,Flower_102,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,hybrid_noise/brightness_label_shuffle/brightness_hybrid_ablation/brightness_0p75_label_shuffle_0p2_beta078_lg01,brightness_0p75_label_shuffle_0p2_beta078_lg01,0.78,0.1,0.5583384239,beta00/hybrid_noise/brightness_label_shuffle/brightness_0p75_label_shuffle_0p2_beta00_lg01,brightness_0p75_label_shuffle_0p2_beta00_lg01,0.5135410303,0.0447973936,4.4797,4.5,true
beta = 0,Similarity only,Flower_102,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_hybrid_ablation/gaussian_30p0_label_shuffle_0p2_beta055_lg015,gaussian_30p0_label_shuffle_0p2_beta055_lg015,0.55,0.15,0.5626145388,beta00/hybrid_noise/gaussian_label_shuffle/gaussian_30p0_label_shuffle_0p2_beta00_lg01,gaussian_30p0_label_shuffle_0p2_beta00_lg01,0.5300346162,0.0325799226,3.2580,3.3,true
beta = 0,Similarity only,Flower_102,label_noise/label_shuffle_0p2,label_shuffle_0p2,label_noise/label_shuffle/label_ablations/label_shuffle_0p2_beta09_lg01,label_shuffle_0p2_beta09_lg01,0.9,0.1,0.5780900020,beta00/label_noise/label_shuffle/label_shuffle_0p2_beta00_lg01,label_shuffle_0p2_beta00_lg01,0.5387904704,0.0392995316,3.9300,3.9,true
beta = 0,Similarity only,STL,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta09_lg01,blur_3p0_beta09_lg01,0.9,0.1,0.6361538462,beta00/feature_noise/blur/blur_3p0_beta00_lg015,blur_3p0_beta00_lg015,0.6019230769,0.0342307693,3.4231,3.4,true
beta = 0,Similarity only,STL,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_0p75_method_beta09_lg01,brightness_0p75_method_beta09_lg01,0.9,0.1,0.7319230769,beta00/feature_noise/brightness/brightness_0p75_beta00_lg01,brightness_0p75_beta00_lg01,0.7103846154,0.0215384615,2.1538,2.2,true
beta = 0,Similarity only,STL,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablation/gaussian_30p0_beta05_lg02,gaussian_30p0_beta05_lg02,0.5,0.2,0.6735897436,beta00/feature_noise/gaussian/gaussian_30p0_beta00_lg015,gaussian_30p0_beta00_lg015,0.6773076923,-0.0037179487,-0.3718,-0.4,false
beta = 0,Similarity only,STL,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta09_lg025,blur_3p0_label_shuffle_0p2_beta09_lg025,0.9,0.25,0.6360256410,beta00/hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta00_lg025,blur_3p0_label_shuffle_0p2_beta00_lg025,0.5943589744,0.0416666666,4.1667,4.2,true
beta = 0,Similarity only,STL,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,hybrid_noise/brightness_label_shuffle/brightness_hybrid_ablation/brightness_0p75_label_shuffle_0p2_feature_best_beta09_lg01,brightness_0p75_label_shuffle_0p2_feature_best_beta09_lg01,0.9,0.1,0.7039743590,beta00/hybrid_noise/brightness_label_shuffle/brightness_0p75_label_shuffle_0p2_beta00_lg01,brightness_0p75_label_shuffle_0p2_beta00_lg01,0.6708974359,0.0330769231,3.3077,3.3,true
beta = 0,Similarity only,STL,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_hybrid_ablation/gaussian_30p0_label_shuffle_0p2_beta07_lg015,gaussian_30p0_label_shuffle_0p2_beta07_lg015,0.7,0.15,0.6671794872,beta00/hybrid_noise/gaussian_label_shuffle/gaussian_30p0_label_shuffle_0p2_beta00_lg015,gaussian_30p0_label_shuffle_0p2_beta00_lg015,0.6517948718,0.0153846154,1.5385,1.5,true
beta = 0,Similarity only,STL,label_noise/label_shuffle_0p2,label_shuffle_0p2,label_noise/label_shuffle/label_shuffle_0p2_method_beta05_lg025,label_shuffle_0p2_method_beta05_lg025,0.5,0.25,0.7185897436,beta00/label_noise/label_shuffle/label_shuffle_0p2_beta00_lg025,label_shuffle_0p2_beta00_lg025,0.6802564103,0.0383333333,3.8333,3.8,true
beta = 1,Confidence only,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,0.5774791285,beta10/feature_noise/blur/blur_3p0_beta10_lg01,blur_3p0_beta10_lg01,0.5491753207,0.0283038078,2.8304,2.8,true
beta = 1,Confidence only,Flower_102,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_ablations/brightness_0p75_beta09_lg01,brightness_0p75_beta09_lg01,0.9,0.1,0.6224801466,beta10/feature_noise/brightness/brightness_0p75_beta10_lg01,brightness_0p75_beta10_lg01,0.6110771737,0.0114029729,1.1403,1.1,true
beta = 1,Confidence only,Flower_102,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablations/gaussian_30p0_beta05_lg02,gaussian_30p0_beta05_lg02,0.5,0.2,0.6218692731,beta10/feature_noise/gaussian/gaussian_30p0_beta10_lg015,gaussian_30p0_beta10_lg015,0.5992669517,0.0226023214,2.2602,2.3,true
beta = 1,Confidence only,Flower_102,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta07_lg01,blur_3p0_label_shuffle_0p2_beta07_lg01,0.7,0.1,0.5259621258,beta10/hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta10_lg01,blur_3p0_label_shuffle_0p2_beta10_lg01,0.5357361026,-0.0097739768,-0.9774,-1.0,false
beta = 1,Confidence only,Flower_102,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,hybrid_noise/brightness_label_shuffle/brightness_hybrid_ablation/brightness_0p75_label_shuffle_0p2_beta078_lg01,brightness_0p75_label_shuffle_0p2_beta078_lg01,0.78,0.1,0.5583384239,beta10/hybrid_noise/brightness_label_shuffle/brightness_0p75_label_shuffle_0p2_beta10_lg01,brightness_0p75_label_shuffle_0p2_beta10_lg01,0.5495825697,0.0087558542,0.8756,0.9,true
beta = 1,Confidence only,Flower_102,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_hybrid_ablation/gaussian_30p0_label_shuffle_0p2_beta055_lg015,gaussian_30p0_label_shuffle_0p2_beta055_lg015,0.55,0.15,0.5626145388,beta10/hybrid_noise/gaussian_label_shuffle/gaussian_30p0_label_shuffle_0p2_beta10_lg01,gaussian_30p0_label_shuffle_0p2_beta10_lg01,0.5632254123,-0.0006108735,-0.0611,-0.1,false
beta = 1,Confidence only,Flower_102,label_noise/label_shuffle_0p2,label_shuffle_0p2,label_noise/label_shuffle/label_ablations/label_shuffle_0p2_beta09_lg01,label_shuffle_0p2_beta09_lg01,0.9,0.1,0.5780900020,beta10/label_noise/label_shuffle/label_shuffle_0p2_beta10_lg01,label_shuffle_0p2_beta10_lg01,0.5609855427,0.0171044593,1.7104,1.7,true
beta = 1,Confidence only,STL,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta09_lg01,blur_3p0_beta09_lg01,0.9,0.1,0.6361538462,beta10/feature_noise/blur/blur_3p0_beta10_lg015,blur_3p0_beta10_lg015,0.6315384615,0.0046153847,0.4615,0.5,true
beta = 1,Confidence only,STL,feature_noise/brightness_0p75,brightness_0p75,feature_noise/brightness/brightness_0p75_method_beta09_lg01,brightness_0p75_method_beta09_lg01,0.9,0.1,0.7319230769,beta10/feature_noise/brightness/brightness_0p75_beta10_lg01,brightness_0p75_beta10_lg01,0.7016666667,0.0302564102,3.0256,3.0,true
beta = 1,Confidence only,STL,feature_noise/gaussian_30p0,gaussian_30p0,feature_noise/gaussian/gaussian_ablation/gaussian_30p0_beta05_lg02,gaussian_30p0_beta05_lg02,0.5,0.2,0.6735897436,beta10/feature_noise/gaussian/gaussian_30p0_beta10_lg015,gaussian_30p0_beta10_lg015,0.6539743590,0.0196153846,1.9615,2.0,true
beta = 1,Confidence only,STL,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta09_lg025,blur_3p0_label_shuffle_0p2_beta09_lg025,0.9,0.25,0.6360256410,beta10/hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta10_lg025,blur_3p0_label_shuffle_0p2_beta10_lg025,0.6387179487,-0.0026923077,-0.2692,-0.3,false
beta = 1,Confidence only,STL,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,hybrid_noise/brightness_label_shuffle/brightness_hybrid_ablation/brightness_0p75_label_shuffle_0p2_feature_best_beta09_lg01,brightness_0p75_label_shuffle_0p2_feature_best_beta09_lg01,0.9,0.1,0.7039743590,beta10/hybrid_noise/brightness_label_shuffle/brightness_0p75_label_shuffle_0p2_beta10_lg01,brightness_0p75_label_shuffle_0p2_beta10_lg01,0.6958974359,0.0080769231,0.8077,0.8,true
beta = 1,Confidence only,STL,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_hybrid_ablation/gaussian_30p0_label_shuffle_0p2_beta07_lg015,gaussian_30p0_label_shuffle_0p2_beta07_lg015,0.7,0.15,0.6671794872,beta10/hybrid_noise/gaussian_label_shuffle/gaussian_30p0_label_shuffle_0p2_beta10_lg015,gaussian_30p0_label_shuffle_0p2_beta10_lg015,0.6333333333,0.0338461539,3.3846,3.4,true
beta = 1,Confidence only,STL,label_noise/label_shuffle_0p2,label_shuffle_0p2,label_noise/label_shuffle/label_shuffle_0p2_method_beta05_lg025,label_shuffle_0p2_method_beta05_lg025,0.5,0.25,0.7185897436,beta10/label_noise/label_shuffle/label_shuffle_0p2_beta10_lg025,label_shuffle_0p2_beta10_lg025,0.7188461538,-0.0002564102,-0.0256,-0.0,false
