seed,family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,epoch,train_loss,test_loss,loss_gap_test_minus_train
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,2,0.7465046337,2.136519345,1.390014712
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,3,0.6510893391,2.304429514,1.653340175
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,4,0.5847611137,1.988082381,1.403321268
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,5,0.516754024,1.978244105,1.461490081
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,6,0.4789273403,2.312863566,1.833936226
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg005,blur_3p0_beta08_lg005,0.8,0.05,7,0.4530924285,2.142209023,1.689116595
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,1,1.101655151,2.532201318,1.430546167
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,2,0.8473666812,2.093696035,1.246329353
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,3,0.7227660385,2.143959751,1.421193713
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,4,0.6353612232,1.979265329,1.343904105
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,5,0.5544270273,1.946197267,1.39177024
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,6,0.5123268513,2.003008188,1.490681337
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg015,blur_3p0_beta08_lg015,0.8,0.15,7,0.4668643852,1.846350997,1.379486612
22,ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta08_lg02,blur_3p0_beta08_lg02,0.8,0.2,1,1.171816176,2.46261074,1.290794564
