family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,epoch,n,train_loss_mean,train_loss_std,test_loss_mean,test_loss_std,loss_gap_mean,loss_gap_std
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,19,1,0.1435622342,,1.642090471,,1.498528237,
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,2,3,0.7721093151,0.02570218641,2.085446674,0.0296401496,1.313337359,0.04152034326
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,3,3,0.6639694968,0.02320305258,2.049996836,0.1694851847,1.38602734,0.1473833151
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,4,3,0.5871973116,0.02431908807,1.935744466,0.05344840724,1.348547155,0.06662241757
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,5,3,0.5229117887,0.01465490836,1.823454687,0.1230947721,1.300542899,0.1113009621
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,6,3,0.4735044044,0.02631527923,1.90008893,0.1799120915,1.426584526,0.1628553362
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,7,3,0.4318381974,0.02540923665,1.804272691,0.1193920207,1.372434493,0.09406891529
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,8,2,0.3767193883,0.009989734136,1.711031755,0.0277084247,1.334312367,0.0177186895
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_3p0_method_beta08_lg01,blur_3p0_method_beta08_lg01,0.8,0.1,9,2,0.3510827443,0.0003409849918,1.698264474,0.05235290763,1.34718173,0.05201192236
ggcl,Flower_102,feature_noise/blur_3p0,blur_3p0,feature_noise/blur/blur_ablations/blur_3p0_beta02_lg01,blur_3p0_beta02_lg01,0.2,0.1,1,3,2.193907148,0.08754076448,2.396090079,0.1596337554,0.202182931,0.09907998691
