family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,n,selected_acc_mean,selected_acc_std,peak_acc_mean,peak_acc_std,final_acc_mean,final_acc_std,selected_epoch_mean,selected_epoch_std
ggcl,Flower_102,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_hybrid_ablation/gaussian_30p0_label_shuffle_0p2_beta05_lg02,gaussian_30p0_label_shuffle_0p2_beta05_lg02,0.5,0.2,3,0.5534514356,0.03149999532,0.5668906536,0.02528308135,0.5514151904,0.02033698265,10,4.582575695
ggcl,Flower_102,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_hybrid_ablation/gaussian_30p0_label_shuffle_0p2_beta06_lg015,gaussian_30p0_label_shuffle_0p2_beta06_lg015,0.6,0.15,3,0.5430665852,0.02905986534,0.5599674201,0.0232640453,0.5556913052,0.02321587398,8.333333333,3.055050463
ggcl,Flower_102,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_hybrid_ablation/gaussian_30p0_label_shuffle_0p2_beta08_lg015,gaussian_30p0_label_shuffle_0p2_beta08_lg015,0.8,0.15,3,0.5542659336,0.03208297955,0.565058033,0.0262249089,0.5518224394,0.02059226857,10,4.582575695
ggcl,Flower_102,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_hybrid_ablation/gaussian_30p0_label_shuffle_0p2_compromise_beta07_lg015,gaussian_30p0_label_shuffle_0p2_compromise_beta07_lg015,0.7,0.15,3,0.5510079414,0.03422527753,0.5689268988,0.02638332614,0.5487680717,0.02543269395,10,4.582575695
ggcl,Flower_102,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_hybrid_ablation/gaussian_30p0_label_shuffle_0p2_feature_best_beta05_lg015,gaussian_30p0_label_shuffle_0p2_feature_best_beta05_lg015,0.5,0.15,3,0.5560985543,0.01237427376,0.5664834046,0.01004387087,0.5609855427,0.008901442881,12.66666667,2.081665999
ggcl,Flower_102,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,hybrid_noise/gaussian_label_shuffle/gaussian_hybrid_ablation/gaussian_30p0_label_shuffle_0p2_label_best_beta095_lg01,gaussian_30p0_label_shuffle_0p2_label_best_beta095_lg01,0.95,0.1,3,0.5471390755,0.03843328464,0.565058033,0.02750966463,0.5550804317,0.03086171219,10,4.582575695
ggcl,Flower_102,label_noise/label_shuffle_0p2,label_shuffle_0p2,label_noise/label_shuffle/label_ablations/label_shuffle_0p2_beta02_lg01,label_shuffle_0p2_beta02_lg01,0.2,0.1,3,0.5508043168,0.02813557394,0.5544695581,0.03084961825,0.5412339646,0.02113481233,11,5.291502622
ggcl,Flower_102,label_noise/label_shuffle_0p2,label_shuffle_0p2,label_noise/label_shuffle/label_ablations/label_shuffle_0p2_beta05_lg01,label_shuffle_0p2_beta05_lg01,0.5,0.1,3,0.552433313,0.0247410072,0.5601710446,0.02562030174,0.5526369375,0.02408371066,8.666666667,3.511884584
ggcl,Flower_102,label_noise/label_shuffle_0p2,label_shuffle_0p2,label_noise/label_shuffle/label_ablations/label_shuffle_0p2_beta08_lg01,label_shuffle_0p2_beta08_lg01,0.8,0.1,3,0.5632254123,0.04062653565,0.5789045001,0.02641866255,0.5618000407,0.0247410072,11.33333333,5.507570547
ggcl,Flower_102,label_noise/label_shuffle_0p2,label_shuffle_0p2,label_noise/label_shuffle/label_ablations/label_shuffle_0p2_beta095_lg005,label_shuffle_0p2_beta095_lg005,0.95,0.05,3,0.5510079414,0.04009955634,0.5634290369,0.02999092591,0.5571166768,0.03339752458,9.333333333,4.509249753
