family,dataset,train_rel,noise_setting,run_name,run_leaf,beta,lambda_gold,n,selected_acc_mean,selected_acc_std,peak_acc_mean,peak_acc_std,final_acc_mean,final_acc_std,selected_epoch_mean,selected_epoch_std
supplemental_ablation,STL,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,beta00/hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta00_lg025,blur_3p0_label_shuffle_0p2_beta00_lg025,0,0.25,3,0.5943589744,0.02192757489,0.6032051282,0.01457653406,0.5642307692,0.01519595867,2.666666667,2.081665999
supplemental_ablation,STL,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,beta00/hybrid_noise/brightness_label_shuffle/brightness_0p75_label_shuffle_0p2_beta00_lg01,brightness_0p75_label_shuffle_0p2_beta00_lg01,0,0.1,3,0.6708974359,0.01175648715,0.6720512821,0.01195611634,0.6556410256,0.02464641474,10.66666667,2.516611478
supplemental_ablation,STL,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,beta00/hybrid_noise/gaussian_label_shuffle/gaussian_30p0_label_shuffle_0p2_beta00_lg015,gaussian_30p0_label_shuffle_0p2_beta00_lg015,0,0.15,3,0.6517948718,0.007011543033,0.6528205128,0.007500821783,0.6258974359,0.03063995278,12,1.732050808
supplemental_ablation,Flower_102,feature_noise/blur_3p0,blur_3p0,beta00/feature_noise/blur/blur_3p0_beta00_lg01,blur_3p0_beta00_lg01,0,0.1,3,0.5391977194,0.05319980331,0.5695377723,0.04149595869,0.5410303401,0.07182982892,7.666666667,3.511884584
supplemental_ablation,Flower_102,feature_noise/brightness_0p75,brightness_0p75,beta00/feature_noise/brightness/brightness_0p75_beta00_lg01,brightness_0p75_beta00_lg01,0,0.1,3,0.564650784,0.05451625757,0.5888821014,0.04941661189,0.5856241091,0.05127457784,8,3.605551275
supplemental_ablation,Flower_102,feature_noise/gaussian_30p0,gaussian_30p0,beta00/feature_noise/gaussian/gaussian_30p0_beta00_lg015,gaussian_30p0_beta00_lg015,0,0.15,3,0.6289961311,0.005933130639,0.6365302382,0.007044937443,0.6365302382,0.007044937443,10.66666667,1.527525232
supplemental_ablation,Flower_102,label_noise/label_shuffle_0p2,label_shuffle_0p2,beta00/label_noise/label_shuffle/label_shuffle_0p2_beta00_lg01,label_shuffle_0p2_beta00_lg01,0,0.1,3,0.5387904704,0.03859154666,0.5483608226,0.02915174941,0.53471798,0.01153133385,11,5.291502622
supplemental_ablation,Flower_102,hybrid_noise/blur_3p0_label_shuffle_0p2,blur_3p0 + label_shuffle_0p2,beta00/hybrid_noise/blur_label_shuffle/blur_3p0_label_shuffle_0p2_beta00_lg01,blur_3p0_label_shuffle_0p2_beta00_lg01,0,0.1,3,0.5066177968,0.01340214431,0.5204642639,0.02270116576,0.5053960497,0.005542927139,11,5.291502622
supplemental_ablation,Flower_102,hybrid_noise/brightness_0p75_label_shuffle_0p2,brightness_0p75 + label_shuffle_0p2,beta00/hybrid_noise/brightness_label_shuffle/brightness_0p75_label_shuffle_0p2_beta00_lg01,brightness_0p75_label_shuffle_0p2_beta00_lg01,0,0.1,3,0.5135410303,0.04806271924,0.5257585013,0.03461197526,0.4950111993,0.02091591544,9,4.582575695
supplemental_ablation,Flower_102,hybrid_noise/gaussian_30p0_label_shuffle_0p2,gaussian_30p0 + label_shuffle_0p2,beta00/hybrid_noise/gaussian_label_shuffle/gaussian_30p0_label_shuffle_0p2_beta00_lg01,gaussian_30p0_label_shuffle_0p2_beta00_lg01,0,0.1,3,0.5300346162,0.0380625369,0.5418448381,0.03024286816,0.5410303401,0.02904273856,10.66666667,5.131601439
supplemental_ablation,STL,feature_noise/blur_3p0,blur_3p0,beta10/feature_noise/blur/blur_3p0_beta10_lg015,blur_3p0_beta10_lg015,1,0.15,3,0.6315384615,0.01675175518,0.6337179487,0.01329197234,0.6120512821,0.008739603573,1.666666667,0.5773502692
