label,total,correct,accuracy
0,260,221,0.85
1,260,148,0.5692307692307692
2,260,222,0.8538461538461538
3,260,180,0.6923076923076923
4,260,190,0.7307692307692307
5,260,154,0.5923076923076923
6,260,159,0.6115384615384616
7,260,179,0.6884615384615385
8,260,230,0.8846153846153846
9,260,204,0.7846153846153846
